Image,Component,Origin,License,Distributed by you?,Comments
scenescape-camcalibration,libsqlite3-0:amd64:3.37.2-2ubuntu0.5,Ubuntu,Public Domain,Y,indirect dependency automatically installed
scenescape-controller,libsqlite3-0:amd64:3.45.1-1ubuntu2.4,Ubuntu,Public Domain,Y,indirect dependency automatically installed
scenescape-manager,libssh-4:amd64:0.9.6-2ubuntu0.22.04.4,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
scenescape-manager,mailcap:3.70+nmu1ubuntu1,Ubuntu,ad-hoc,Y,indirect dependency automatically installed
scenescape-manager,mime-support:3.66,Ubuntu,ad-hoc,Y,indirect dependency automatically installed
scenescape-secrets,libsqlite3-0:3.37.2-2ubuntu0.3,Ubuntu,Public Domain,N,indirect dependency automatically installed
scenescape-controller,libqhull-r8.0:amd64:2020.2-6build1,Ubuntu,Qhull License,Y,indirect dependency automatically installed
scenescape-controller,libgraphite2-3:amd64:1.3.14-2build1,Ubuntu,SIL Open Font License,Y,indirect dependency automatically installed
scenescape-camcalibration,dt-apriltags @ file:///tmp/dt_apriltags-3.1.7-py3-none-any.whl,https://github.com/duckietown/lib-dt-apriltags,The Regents of The University of Michigan,Y,imported
scenescape-camcalibration,filelock==3.18.0,pypi,Unlicense,Y,indirect dependency. auto installed
scenescape-camcalibration,libwayland-client0:amd64:1.20.0-1ubuntu0.1,Ubuntu,X11,Y,indirect dependency automatically installed
scenescape-camcalibration,libwayland-server0:amd64:1.20.0-1ubuntu0.1,Ubuntu,X11,Y,indirect dependency automatically installed
scenescape-controller,xkb-data:2.41-2ubuntu1.1,Ubuntu,MIT,Y,indirect dependency automatically installed
